Designator,Mid X,Mid Y,Rotation,Layer
D10,189.756003,-105.744955,90.0,bottom
D11,132.600768,-124.768784,90.0,bottom
D12,151.650768,-124.768784,90.0,bottom
D13,170.700768,-125.026784,90.0,bottom
D14,189.750768,-124.768784,90.0,bottom
D18,132.59,-97.225,0.0,top
D19,151.59,-97.225,0.0,top
D20,170.59,-97.225,0.0,top
D21,132.59,-116.225,0.0,top
D22,151.59,-116.225,0.0,top
D23,170.59,-116.225,0.0,top
D3,132.606003,-86.2,90.0,bottom
D4,151.656003,-86.171598,90.0,bottom
D5,170.706003,-86.171598,90.0,bottom
D6,189.756003,-86.171598,90.0,bottom
D7,132.606003,-105.744955,90.0,bottom
D8,151.656003,-105.744955,90.0,bottom
D9,170.706003,-105.744955,90.0,bottom
S10,180.21875,-104.475,0.0,top
S11,123.06875,-123.525,0.0,top
S12,142.11875,-123.525,0.0,top
S13,161.16875,-123.525,0.0,top
S14,180.21875,-123.525,0.0,top
S3,123.06875,-85.425,0.0,top
S4,142.11875,-85.425,0.0,top
S5,161.16875,-85.425,0.0,top
S6,180.21875,-85.425,0.0,top
S7,123.06875,-104.475,0.0,top
S8,142.11875,-104.475,0.0,top
S9,161.16875,-104.475,0.0,top
SW1,141.96,-68.3,0.0,top
U1,122.38,-66.250341,0.0,top
